"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"93","Hylatomus lineatus","Hylatomus","lineatus","Lineated Woodpecker","Piciformes","Picidae",80,10,"Invertebrate",0.63903186,315,360,360,NA,NA,NA,NA,NA,0.0084,5.8,"LC"
"94","Hylocichla mustelina","Hylocichla","mustelina","Wood Thrush","Passeriformes","Turdidae",60,40,"Invertebrate",0.673011667,190,210,210,NA,NA,10.2,0.008,0.04,0.04,4.1,"NT"
"95","Icteria virens","Icteria","virens","Yellow-breasted Chat","Passeriformes","Parulidae",80,20,"Invertebrate",0.500402424,NA,NA,180,NA,NA,8.9,0.04,1.3,1.3,2.54,"LC"
"96","Icterus galbula","Icterus","galbula","Baltimore Oriole","Passeriformes","Icteridae",60,20,"Invertebrate",0.950270539,168,188,188,NA,14,14,0.0063,0.0174,0.0174,5,"LC"
"97","Legatus leucophaius","Legatus","leucophaius","Piratic Flycatcher","Passeriformes","Tyrannidae",30,70,"FruiNect",0.610864302,145,170,170,NA,NA,NA,NA,NA,0.007,3.6,"LC"
"98","Leiothlypis ruficapilla","Leiothlypis","ruficapilla","Nashville Warbler","Passeriformes","Parulidae",80,10,"Invertebrate",0.63903186,NA,NA,120,NA,NA,10.17,0.5,1.1,1.1,3.5,"LC"
"99","Lepidothrix coronata","Lepidothrix","coronata","Blue-crowned Manakin","Passeriformes","Pipridae",20,80,"FruiNect",0.500402424,80,90,90,NA,NA,NA,0.015,0.129,0.129,4.1,"LC"
"100","Leptopogon amaurocephalus","Leptopogon","amaurocephalus","Sepia-capped Flycatcher","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,120,140,140,NA,NA,NA,NA,NA,0.03,3.6,"LC"
"101","Leuconotopicus villosus","Leuconotopicus","villosus","Hairy Woodpecker","Piciformes","Picidae",70,10,"Invertebrate",0.940447989,NA,NA,250,NA,NA,15.92,0.0065,0.026,0.026,3.1,"LC"
"102","Lipaugus fuscocinereus","Lipaugus","fuscocinereus","Dusky Piha","Passeriformes","Cotingidae",30,70,"FruiNect",0.610864302,NA,NA,330,NA,NA,NA,NA,NA,0.042,4.6,"LC"
"103","Manacus manacus","Manacus","manacus","White-bearded Manakin","Passeriformes","Pipridae",10,90,"FruiNect",0.325082973,100,110,110,14,17,14,0.0025,0.0021,0.0021,6.3,"LC"
"104","Margarops fuscatus","Margarops","fuscatus","Pearly-eyed Thrasher","Passeriformes","Mimidae",20,40,"FruiNect",1.470808476,200,300,300,NA,NA,17,0.021,0.179,0.179,5.3,"LC"
"105","Masius chrysopterus","Masius","chrysopterus","Golden-winged Manakin","Passeriformes","Pipridae",50,50,"Omnivore",0.693147181,NA,NA,110,NA,NA,NA,NA,NA,1,4.4,"LC"
"106","Mecocerculus leucophrys","Mecocerculus","leucophrys","White-throated Tyrannulet","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,110,140,140,NA,NA,NA,0.68,6.14,6.14,3.6,"LC"
"107","Mecocerculus stictopterus","Mecocerculus","stictopterus","White-banded Tyrannulet","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,NA,NA,130,NA,NA,NA,NA,NA,0.042,3.6,"LC"
"108","Melanerpes aurifrons","Melanerpes","aurifrons","Golden-fronted Woodpecker","Piciformes","Picidae",40,30,"Omnivore",1.279854226,220,260,260,5.7,NA,5.7,0.144,0.417,0.249,5.8,"LC"
"109","Melanerpes flavifrons","Melanerpes","flavifrons","Yellow-fronted Woodpecker","Piciformes","Picidae",30,40,"Omnivore",1.088899975,NA,NA,170,NA,NA,NA,NA,NA,0.0034,5.1,"LC"
"110","Melanerpes formicivorus","Melanerpes","formicivorus","Acorn Woodpecker","Piciformes","Picidae",20,10,"PlantSeed",1.088899975,210,230,230,NA,NA,24,NA,NA,0.06,5.6,"LC"
"111","Melanerpes hypopolius","Melanerpes","hypopolius","Grey-breasted Woodpecker","Piciformes","Picidae",40,60,"FruiNect",0.673011667,190,210,210,NA,NA,NA,1.6,3.8,2.7,3,"LC"
"112","Melozone albicollis","Melozone","albicollis","White-throated Towhee","Passeriformes","Emberizidae",50,10,"Omnivore",0.943348392,185,225,225,NA,NA,NA,NA,NA,0.0731,2.8,"LC"
"113","Mitu salvini","Mitu","salvini","Salvin's Curassow","Galliformes","Cracidae",0,40,"PlantSeed",1.054920168,750,890,890,NA,NA,24,72,150,150,10.5,"LC"
"114","Mitu tomentosum","Mitu","tomentosum","Crestless Curassow","Galliformes","Cracidae",0,70,"FruiNect",0.801818553,750,850,850,NA,NA,24,72,150,150,9.5,"NT"
"115","Mitu tuberosum","Mitu","tuberosum","Razor-billed Curassow","Galliformes","Cracidae",10,70,"FruiNect",0.940447989,830,890,890,NA,NA,24,72,150,150,8.32,"LC"
"116","Molothrus oryzivorus","Molothrus","oryzivorus","Giant Cowbird","Passeriformes","Icteridae",30,40,"FruiNect",1.088899975,280,380,380,7,8,8,22,70,70,3.5,"LC"
"117","Momotus momota","Momotus","momota","Amazonian motmot","Coraciiformes","Momotidae",50,30,"Omnivore",1.16828245,380,430,430,NA,NA,NA,NA,NA,0.0059,3.6,"LC"
"118","Myiarchus apicalis","Myiarchus","apicalis","Apical Flycatcher","Passeriformes","Tyrannidae",50,50,"Omnivore",0.693147181,NA,NA,170,NA,NA,6,1.6,3.2,3.2,5.1,"LC"
"119","Myiarchus crinitus","Myiarchus","crinitus","Great Crested Flycatcher","Passeriformes","Tyrannidae",60,40,"Invertebrate",0.673011667,170,210,210,2,14,14,1.6,3.2,3.2,3.41,"LC"
"120","Myiarchus swainsoni","Myiarchus","swainsoni","Swainson's Flycatcher","Passeriformes","Tyrannidae",70,20,"Invertebrate",0.801818553,195,210,210,NA,NA,NA,NA,NA,0.002,5.1,"LC"
"121","Myiarchus tyrannulus","Myiarchus","tyrannulus","Brown-crested Flycatcher","Passeriformes","Tyrannidae",70,20,"Invertebrate",0.801818553,180,230,230,NA,NA,11,0.005,0.085,0.085,6.5,"LC"
"122","Myiodynastes maculatus","Myiodynastes","maculatus","Streaked Flycatcher","Passeriformes","Tyrannidae",40,30,"Omnivore",1.088899975,195,210,210,NA,NA,NA,NA,NA,0.003,3.6,"LC"
"123","Myiodynastes solitarius","Myiodynastes","solitarius","Southern Streaked Flycatcher ","Passeriformes","Tyrannidae",40,30,"Omnivore",1.088899975,195,210,210,NA,NA,NA,NA,NA,0.003,3.6,"LC"
"124","Myiopagis gaimardii","Myiopagis","gaimardii","Forest Elaenia","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,120,125,125,NA,NA,NA,NA,NA,0.092,3.6,"LC"
"125","Myiopagis viridicata","Myiopagis","viridicata","Greenish Elaenia","Passeriformes","Tyrannidae",60,20,"Invertebrate",0.950270539,NA,NA,135,NA,NA,NA,NA,NA,0.009,3.6,"LC"
"126","Myiophobus fasciatus","Myiophobus","fasciatus","Bran-coloured Flycatcher","Passeriformes","Tyrannidae",80,20,"Invertebrate",0.500402424,110,127,127,3.833,5.083,5.083,NA,NA,0.0066,3.6,"LC"
"127","Myiopsitta monachus","Myiopsitta","monachus","Monk Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,NA,NA,290,12,22.1,22.1,NA,NA,120,6,"LC"
"128","Myiozetetes cayanensis","Myiozetetes","cayanensis","Rusty-margined Flycatcher","Passeriformes","Tyrannidae",70,30,"Invertebrate",0.610864302,165,180,180,NA,NA,NA,NA,NA,0.002,3.6,"LC"
"129","Myiozetetes similis","Myiozetetes","similis","Social Flycatcher","Passeriformes","Tyrannidae",40,40,"Omnivore",1.193549604,160,185,185,NA,NA,NA,NA,NA,0.0021,3.6,"LC"
"130","Nesotriccus ridgwayi","Nesotriccus","ridgwayi","Cocos Flycatcher","Passeriformes","Tyrannidae",90,10,"Invertebrate",0.325082973,NA,NA,110,NA,NA,6,NA,NA,0.25,2.79,"VU"
"131","Odontophorus capueira","Odontophorus","capueira","Spot-winged Wood-quail","Galliformes","Odontophoridae",0,80,"FruiNect",0.500402424,260,300,300,NA,12,12,NA,NA,0.12,3.9,"LC"
"132","Odontophorus speciosus","Odontophorus","speciosus","Rufous-breasted Wood-quail","Galliformes","Odontophoridae",20,30,"Omnivore",1.366158848,240,280,280,NA,NA,NA,2.6,9,5.22,3.9,"NT"
"133","Odontophorus stellatus","Odontophorus","stellatus","Starred Wood-quail","Galliformes","Odontophoridae",20,30,"Omnivore",1.366158848,240,280,280,NA,NA,NA,2.6,9,5.22,3.9,"LC"
"134","Oporornis agilis","Oporornis","agilis","Connecticut Warbler","Passeriformes","Parulidae",80,20,"Invertebrate",0.500402424,130,150,150,4.08,7.92,7.92,0.24,0.48,0.48,2.15,"LC"
"135","Oreophasis derbianus","Oreophasis","derbianus","Horned Guan","Galliformes","Cracidae",0,50,"Omnivore",0.693147181,750,850,850,NA,NA,NA,0.08,0.2,0.2,9.55,"EN"
"136","Pachyramphus castaneus","Pachyramphus","castaneus","Chestnut-crowned Becard","Passeriformes","Cotingidae",90,10,"Invertebrate",0.325082973,140,148,148,NA,NA,NA,NA,NA,0.0016,4.6,"LC"
"137","Pachyramphus marginatus","Pachyramphus","marginatus","Black-capped Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,130,140,140,NA,NA,NA,NA,NA,8,4.6,"LC"
"138","Pachyramphus minor","Pachyramphus","minor","Pink-throated Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,165,175,175,NA,NA,NA,NA,NA,8,4.6,"LC"
"139","Pachyramphus polychopterus","Pachyramphus","polychopterus","White-winged Becard","Passeriformes","Cotingidae",50,50,"Omnivore",0.693147181,140,155,155,NA,NA,NA,NA,NA,0.0017,4.6,"LC"
"140","Passerina caerulea","Passerina","caerulea","Blue Grosbeak","Passeriformes","Emberizidae",40,20,"Omnivore",1.279854226,150,160,160,5.9,10.2,10.2,3.12,7.28,5.2,4.2,"LC"
"141","Patagioenas cayennensis","Patagioenas","cayennensis","Pale-vented Pigeon","Columbiformes","Columbidae",0,70,"FruiNect",0.610864302,250,280,280,NA,NA,14.4,NA,NA,12.7,4.42,"LC"
"142","Patagioenas flavirostris","Patagioenas","flavirostris","Red-billed Pigeon","Columbiformes","Columbidae",0,60,"FruiNect",0.673011667,300,370,370,NA,NA,14.4,NA,NA,12.7,4.9,"LC"
"143","Patagioenas leucocephala","Patagioenas","leucocephala","White-crowned Pigeon","Columbiformes","Columbidae",0,70,"FruiNect",0.610864302,330,350,350,NA,14.4,14.4,NA,NA,12.7,3.87,"NT"
"144","Patagioenas picazuro","Patagioenas","picazuro","Picazuro Pigeon","Columbiformes","Columbidae",10,30,"PlantSeed",1.313834033,NA,NA,340,NA,NA,14.4,NA,NA,12.7,6.6,"LC"
"145","Penelope ortoni","Penelope","ortoni","Baudo Guan","Galliformes","Cracidae",0,80,"FruiNect",0.500402424,580,630,630,NA,NA,NA,8,17,17,5.7,"EN"
"146","Penelope superciliaris","Penelope","superciliaris","Rusty-margined Guan","Galliformes","Cracidae",10,90,"FruiNect",0.325082973,550,730,730,NA,NA,NA,8,17,17,6.31,"LC"
"147","Percnostola rufifrons","Percnostola","rufifrons","Black-headed Antbird","Passeriformes","Thamnophilidae",80,10,"Invertebrate",0.63903186,130,155,155,14.2,16.2,16.2,0.81,2.73,2.73,4.8,"LC"
