IUCN_species_name,genus,species,common_name,order_e,family_e,diet_inv_e,diet_fruit_e,diet_cat_e,diet_breadth,min_body_size_mm,max_body_size_mm,body_size_mm,min_longevity,max_longevity,longevity,min_home_range,max_home_range,home_range_size,generation_time,IUCN_category
Bombycilla cedrorum,Bombycilla,cedrorum,Cedar Waxwing,Passeriformes,Bombycillidae,20,70,FruiNect,0.801818553,NA,NA,155,7,8.2,8.2,NA,NA,NA,3.03,LC
Brotogeris chiriri,Brotogeris,chiriri,Yellow-chevroned Parakeet,Psittaciformes,Psittacidae,0,50,FruiNect,1.220607265,220,250,250,20,37,37,NA,NA,NA,5,LC
Brotogeris chrysoptera,Brotogeris,chrysoptera,Golden-winged Parakeet,Psittaciformes,Psittacidae,0,70,FruiNect,0.610864302,NA,NA,160,NA,NA,NA,NA,NA,NA,5,LC
Brotogeris cyanoptera,Brotogeris,cyanoptera,Cobalt-winged Parakeet,Psittaciformes,Psittacidae,0,100,FruiNect,0,180,200,200,20,37,37,NA,NA,NA,5,LC
Brotogeris jugularis,Brotogeris,jugularis,Orange-chinned Parakeet,Psittaciformes,Psittacidae,0,30,Omnivore,1.366158848,180,190,190,20,37,37,NA,NA,NA,5.18,LC
Brotogeris pyrrhoptera,Brotogeris,pyrrhoptera,Grey-cheeked Parakeet,Psittaciformes,Psittacidae,0,30,PlantSeed,1.088899975,NA,NA,200,NA,11.3,11.3,NA,NA,NA,5.4,EN
Brotogeris sanctithomae,Brotogeris,sanctithomae,Tui Parakeet,Psittaciformes,Psittacidae,0,70,FruiNect,0.610864302,NA,NA,170,20,37,37,NA,NA,NA,5,LC
Brotogeris versicolurus,Brotogeris,versicolurus,White-winged Parakeet,Psittaciformes,Psittacidae,0,50,Omnivore,0.693147181,220,250,250,20,37,37,NA,NA,NA,5,LC
Buteogallus urubitinga,Buteogallus,urubitinga,Great Black-hawk,Accipitriformes,Accipitridae,20,10,VertFishScav,1.695742534,510,610,610,NA,NA,41,NA,NA,NA,6.3,LC
Buthraupis montana,Buthraupis,montana,Hooded Mountain-tanager,Passeriformes,Thraupidae,10,70,FruiNect,0.801818553,NA,NA,210,NA,NA,NA,NA,NA,NA,3.7,LC
