IUCN_species_name,common_name,family,genus,species,subspecies,diet_cat,diet_breadth,IUCN_category,mean_human_fp_range_2010,mean_human_fp_range_2020,percent_change_hf_2010_2020
Glyphonycteris sylvestris,Tri-colored Big-eared Bat,Phyllostomidae,Glyphonycteris,sylvestris,NA,Invertebrate,0.500402424,LC,294.1434014,385.0558238,30.90751724
Gracilinanus aceramarcae,Aceramarca gracile mouse opossum,Didelphidae,Gracilinanus,aceramarcae,NA,Omnivore,1.029653014,LC,567.0816302,692.2352677,22.06977459
Gracilinanus agilis,Agile Gracile Opossum,Didelphidae,Gracilinanus,agilis,NA,Omnivore,1.029653014,LC,569.6190588,728.3772064,27.87093324
Gracilinanus dryas,Wood sprite gracile opossum,Didelphidae,Gracilinanus,dryas,NA,Omnivore,1.029653014,LC,1097.368584,1207.32329,10.01985181
Gracilinanus emiliae,Emilia's Gracile Opossum,Didelphidae,Gracilinanus,emiliae,NA,Omnivore,1.029653014,DD,428.7681434,563.2880921,31.37358752
Gracilinanus marica,Northern gracile opossum,Didelphidae,Gracilinanus,marica,NA,Omnivore,1.029653014,LC,1121.556893,1289.035416,14.93268191
Habromys chinanteco,Chinaneteco deer mouse,Cricetidae,Habromys,chinanteco,NA,Omnivore,1.220607265,CR,132.7402084,381.8421042,187.661221
Habromys delicatulus,Delicate deer mouse,Cricetidae,Habromys,delicatulus,NA,Omnivore,1.220607265,EN,1674.344934,2179.184775,30.15148374
Habromys ixtlani,Ixtlán deer mouse,Cricetidae,Habromys,ixtlani,NA,Omnivore,1.220607265,CR,203.5088964,517.9433866,154.5065085
Habromys lepturus,Zempoaltepec deer mouse,Cricetidae,Habromys,lepturus,NA,Omnivore,1.220607265,CR,311.758198,779.2037479,149.9384949
Habromys lophurus,Crested-tailed deer mouse,Cricetidae,Habromys,lophurus,NA,Omnivore,1.220607265,NT,1536.662615,1677.216377,9.146689735
Habromys schmidlyi,Schmidly's deer mouse,Cricetidae,Habromys,schmidlyi,NA,Omnivore,1.220607265,CR,1158.278641,1265.733826,9.277144662
Habromys simulatus,Jico deer mouse,Cricetidae,Habromys,simulatus,NA,Omnivore,1.220607265,CR,1407.253793,1771.320432,25.87071647
Handleyomys alfaroi,Alfaro's rice rat,Cricetidae,Handleyomys,alfaroi,NA,PlantSeed,1.33217904,LC,967.3610656,1195.243959,23.55717027
Handleyomys chapmani,Chapman's Handley's mouse,Cricetidae,Handleyomys,chapmani,NA,PlantSeed,1.33217904,VU,944.6496292,1272.93563,34.75214413
Handleyomys fuscatus,Dusky-footed Handley's mouse,Cricetidae,Handleyomys,fuscatus,NA,PlantSeed,1.33217904,LC,783.5222809,942.9249546,20.34437023
Handleyomys intectus,Colombian rice rat,Cricetidae,Handleyomys,intectus,NA,PlantSeed,1.33217904,LC,1235.228035,1534.293358,24.21134513
Handleyomys rhabdops,Highland rice rat,Cricetidae,Handleyomys,rhabdops,NA,PlantSeed,1.33217904,EN,1274.946828,1718.756317,34.81003905
Handleyomys rostratus,Long-nosed oryzomys,Cricetidae,Handleyomys,rostratus,NA,PlantSeed,1.33217904,LC,871.9137278,1105.169497,26.75216153
Handleyomys saturatior,Cloud forest rice rat,Cricetidae,Handleyomys,saturatior,NA,PlantSeed,1.33217904,LC,1202.967675,1438.337707,19.56578195
Herpailurus yagouaroundi,Jaguarundi,Felidae,Herpailurus,yagouaroundi,NA,VertFishScav,0.63903186,LC,465.5167423,607.3797018,30.47429804
Hydrochoerus hydrochaeris,Capybara,Caviidae,Hydrochoerus,hydrochaeris,NA,PlantSeed,0.325082973,LC,NA,NA,NA
Hydrochoerus isthmius,Lesser Capybara,Caviidae,Hydrochoerus,isthmius,NA,PlantSeed,0.325082973,DD,NA,NA,NA
Hyladelphys kalinowskii,Kalinowski's Mouse Opossum,Didelphidae,Hyladelphys,kalinowskii,NA,Invertebrate,1.088899975,LC,96.36802598,136.6267703,41.77603922
Hylaeamys megacephalus,Azara's broad-headed oryzomys,Cricetidae,Hylaeamys,megacephalus,NA,PlantSeed,1.33217904,LC,327.8464155,447.5487892,36.51172257
Hylaeamys perenensis,Western amazonian Oryzomys,Cricetidae,Hylaeamys,perenensis,NA,PlantSeed,1.33217904,LC,96.12358801,132.0317165,37.35620904
Hylaeamys tatei,Tate's oryzomys,Cricetidae,Hylaeamys,tatei,NA,PlantSeed,1.33217904,DD,907.699868,1262.605544,39.09945225
Hylaeamys yunganus,Amazonian oryzomys,Cricetidae,Hylaeamys,yunganus,NA,PlantSeed,1.33217904,LC,155.6834206,230.4049857,47.99583975
Hylonycteris underwoodi,Underwood's long-tongued bat,Phyllostomidae,Hylonycteris,underwoodi,NA,FruiNect,0.943348392,LC,991.4530342,1215.498159,22.59765384
Isothrix barbarabrownae,Barbara Brown's Brush-tailed Rat,Echimyidae,Isothrix,barbarabrownae,NA,PlantSeed,1.029653014,DD,235.306161,462.7455774,96.65680464
Isothrix orinoci,Orinoco Brush-tailed Rat,Echimyidae,Isothrix,orinoci,NA,PlantSeed,1.029653014,DD,84.22163482,110.7715964,31.523921
Isthmomys flavidus,Yellow isthmus rat,Cricetidae,Isthmomys,flavidus,NA,Omnivore,1.220607265,NT,820.2070644,923.239053,12.5617046
