"","IUCN_species_name","genus","species","common_name","order_e","family_e","diet_inv_e","diet_fruit_e","diet_cat_e","diet_breadth","min_body_size_mm","max_body_size_mm","body_size_mm","min_longevity","max_longevity","longevity","min_home_range","max_home_range","home_range_size","generation_time","IUCN_category"
"64","Pionites xanthomerius","Pionites","xanthomerius","White-bellied Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",0.673011667,NA,NA,230,NA,26,26,NA,NA,NA,7.9,"LC"
"65","Pionopsitta pileata","Pionopsitta","pileata","Pileated Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,NA,NA,220,NA,NA,NA,NA,NA,NA,5.8,"LC"
"66","Pionus chalcopterus","Pionus","chalcopterus","Bronze-winged Parrot","Psittaciformes","Psittacidae",0,80,"FruiNect",0.500402424,280,290,290,NA,NA,15.23,NA,NA,NA,6.7,"LC"
"67","Pionus fuscus","Pionus","fuscus","Dusky Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,250,260,260,NA,NA,9.1,1,NA,1,6.7,"LC"
"68","Pionus maximiliani","Pionus","maximiliani","Scaly-headed Parrot","Psittaciformes","Psittacidae",0,10,"PlantSeed",0.801818553,250,290,290,NA,NA,16,NA,NA,0.01,6.7,"LC"
"69","Pionus menstruus","Pionus","menstruus","Blue-headed Parrot","Psittaciformes","Psittacidae",0,30,"PlantSeed",1.088899975,240,280,280,NA,NA,20.6,NA,NA,1,6.7,"LC"
"70","Pionus senilis","Pionus","senilis","White-crowned Parrot","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,240,NA,NA,NA,NA,NA,NA,6.7,"LC"
"71","Pionus seniloides","Pionus","seniloides","White-capped Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,260,290,290,NA,NA,7.6,NA,NA,NA,6.7,"LC"
"72","Pionus sordidus","Pionus","sordidus","Red-billed Parrot","Psittaciformes","Psittacidae",0,60,"FruiNect",0.673011667,NA,NA,280,NA,NA,5.7,NA,NA,NA,6.7,"LC"
"73","Pionus tumultuosus","Pionus","tumultuosus","Speckle-faced Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,290,300,300,NA,NA,13.76,NA,NA,NA,6.7,"LC"
"74","Primolius auricollis","Primolius","auricollis","Yellow-collared Macaw","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,370,450,450,NA,NA,25.21,NA,NA,NA,10.2,"LC"
"75","Primolius couloni","Primolius","couloni","Blue-headed Macaw","Psittaciformes","Psittacidae",0,50,"Omnivore",0.943348392,NA,NA,410,NA,NA,13.3,NA,NA,NA,5,"VU"
"76","Psittacara acuticaudatus","Psittacara","acuticaudatus","Blue-crowned Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,330,380,380,NA,NA,NA,NA,NA,2e-04,7,"LC"
"77","Psittacara erythrogenys","Psittacara","erythrogenys","Red-masked Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.673011667,NA,NA,330,NA,NA,NA,NA,NA,NA,7,"NT"
"78","Psittacara finschi","Psittacara","finschi","Crimson-fronted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,280,NA,NA,NA,NA,NA,NA,4.28,"LC"
"79","Psittacara holochlorus","Psittacara","holochlorus","Green Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,280,305,305,NA,NA,22.5,NA,NA,NA,7,"LC"
"80","Psittacara leucophthalmus","Psittacara","leucophthalmus","White-eyed Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,320,350,350,NA,NA,NA,NA,NA,NA,7,"LC"
"81","Psittacara mitratus","Psittacara","mitratus","Mitred Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,310,380,380,NA,NA,NA,NA,NA,NA,7,"LC"
"82","Psittacara rubritorquis","Psittacara","rubritorquis","Red-throated Parakeet","Psittaciformes","Psittacidae",0,100,"FruiNect",0,280,305,305,NA,NA,21.8,NA,NA,NA,7,"LC"
"83","Pyrilia barrabandi","Pyrilia","barrabandi","Orange-cheeked Parrot","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,250,NA,NA,NA,NA,NA,NA,6.9,"NT"
"84","Pyrilia caica","Pyrilia","caica","Caica Parrot","Psittaciformes","Psittacidae",0,20,"PlantSeed",0.500402424,NA,NA,230,NA,NA,NA,NA,NA,NA,6.9,"NT"
"85","Pyrilia haematotis","Pyrilia","haematotis","Brown-hooded Parrot","Psittaciformes","Psittacidae",0,40,"PlantSeed",1.088899975,210,230,230,NA,NA,NA,NA,NA,NA,6.9,"LC"
"86","Pyrilia pulchra","Pyrilia","pulchra","Rose-faced Parrot","Psittaciformes","Psittacidae",0,100,"FruiNect",0,NA,NA,230,NA,NA,NA,NA,NA,NA,6.9,"LC"
"87","Pyrilia pyrilia","Pyrilia","pyrilia","Saffron-headed Parrot","Psittaciformes","Psittacidae",0,50,"Omnivore",0.943348392,NA,NA,240,NA,NA,NA,NA,NA,NA,6.9,"NT"
"88","Pyrrhura albipectus","Pyrrhura","albipectus","White-necked Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,NA,NA,240,NA,NA,NA,NA,NA,NA,6,"VU"
"89","Pyrrhura caeruleiceps","Pyrrhura","caeruleiceps","Perija Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,1,6,"EN"
"90","Pyrrhura calliptera","Pyrrhura","calliptera","Flame-winged Parakeet","Psittaciformes","Psittacidae",0,70,"FruiNect",0.610864302,220,230,230,NA,NA,NA,NA,NA,NA,3.7,"VU"
"91","Pyrrhura devillei","Pyrrhura","devillei","Blaze-winged Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,NA,NA,260,NA,NA,NA,NA,NA,NA,6,"NT"
"92","Pyrrhura egregia","Pyrrhura","egregia","Fiery-shouldered Parakeet","Psittaciformes","Psittacidae",0,60,"FruiNect",0.950270539,NA,NA,250,NA,NA,NA,NA,NA,NA,6,"LC"
"93","Pyrrhura eisenmanni","Pyrrhura","eisenmanni","Azuero Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,NA,NA,220,NA,NA,NA,NA,NA,1,6,"EN"
"94","Pyrrhura emma","Pyrrhura","emma","Painted Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",1.029653014,220,230,230,NA,NA,NA,NA,NA,NA,4.1,"LC"
"95","Pyrrhura frontalis","Pyrrhura","frontalis","Maroon-bellied Parakeet","Psittaciformes","Psittacidae",10,30,"PlantSeed",1.313834033,240,280,280,NA,NA,NA,NA,NA,NA,6,"LC"
"96","Pyrrhura hoematotis","Pyrrhura","hoematotis","Red-eared Parakeet","Psittaciformes","Psittacidae",0,30,"FruiNect",0.897945725,NA,NA,250,NA,NA,NA,NA,NA,NA,6,"LC"
"97","Pyrrhura hoffmanni","Pyrrhura","hoffmanni","Sulphur-winged Parakeet","Psittaciformes","Psittacidae",0,50,"Omnivore",0.693147181,230,240,240,NA,NA,NA,NA,NA,NA,6,"LC"
